Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
sUSDS,USDS,Chainlink,Chainlink_sUSDS/USDS,0xc8228b83f1d97a431a48bd9bc3e971c8b418d889,0xdDb46999F8891663a8F2828d25298f70416d7610,0x6491c05A82219b8D1479057361ff1654749b876b,Yes
USDS,USD,Chainlink,Chainlink_USDS/USD,0xf5c2dfd1740d18ad7cf23fba76cc11d877802937,0x6491c05A82219b8D1479057361ff1654749b876b,0x0000000000000000000000000000000000000348,Yes
sUSDS,USD,Cross,Cross_sUSDS/USD,0x5939ee098eb6d411c3727b78ee665771f5cb0501,0xdDb46999F8891663a8F2828d25298f70416d7610,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chainlink,Chainlink_USDC/USD,0x3cd81aee1c41757b88961572bfd192cbf2127f37,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x0000000000000000000000000000000000000348,Yes
USD₮0,USD,Chainlink,Chainlink_USD₮0/USD,0xbbc0166f5f14e9c4970c87bd5336e19bc530fd74,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,0x0000000000000000000000000000000000000348,Yes
WETH,USD,Chainlink,Chainlink_WETH/USD,0x6c1212b14e190a5eb91b1c8cc2f6f4623476862c,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x0000000000000000000000000000000000000348,Yes
ARB,USD,Chainlink,Chainlink_ARB/USD,0x0fc12120957a8603905c7e089c2cb010c694c889,0x912CE59144191C1204E64559FE8253a0e49E6548,0x0000000000000000000000000000000000000348,Yes
weETH,WETH,RedStone Classic,RedStoneClassic_weETH/WETH,0xe1757e64733446c6caed36198a617f2a901a52be,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Yes
weETH,USD,Cross,Cross_weETH/USD,0x4f22d594a852dd3788ba605a4786946334881492,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,0x0000000000000000000000000000000000000348,Yes
wstETH,WETH,RedStone Classic,RedStoneClassic_wstETH/WETH,0xda0ac4135f4d29ca3e5c8f31c0836fd0e0648f33,0x5979D7b546E38E414F7E9822514be443A4800529,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Yes
WBTC,USD,Chainlink,Chainlink_WBTC/USD,0xce111096cd2260436ea475fa6c70a284692d1887,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0x0000000000000000000000000000000000000348,Yes
wstETH,USD,Cross,Cross_wstETH/USD,0x1b9405c4742df2fb0a2fc838fa08c4fe03300702,0x5979D7b546E38E414F7E9822514be443A4800529,0x0000000000000000000000000000000000000348,Yes
tETH,wstETH,Chainlink,Chainlink_tETH/wstETH,0xa34f5bfd5a36605bbeb188ce9ff0c3d73fa6bfdf,0xd09ACb80C1E8f2291862c4978A008791c9167003,0x5979D7b546E38E414F7E9822514be443A4800529,Yes
tETH,USD,Cross,Cross_tETH/USD,0x5cabb4fc26db9d6b028de7a9ae05164671d51d7a,0xd09ACb80C1E8f2291862c4978A008791c9167003,0x0000000000000000000000000000000000000348,Yes
rsETH,WETH,Chainlink,Chainlink_rsETH/WETH,0x8b5dd6260694cc292dd2fa92ad15867a17df2e9b,0x4186BFC76E2E237523CBC30FD220FE055156b41F,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Yes
rsETH,USD,Cross,Cross_rsETH/USD,0xb84f6d77c823980e6fa40fe474c86138ecbb97d1,0x4186BFC76E2E237523CBC30FD220FE055156b41F,0x0000000000000000000000000000000000000348,Yes
ezETH,WETH,Chainlink,Chainlink_ezETH/WETH,0xe3e2d38ca4964ff5c95b92018f5d5f3c5ea34502,0x2416092f143378750bb29b79eD961ab195CcEea5,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,Yes
ezETH,USD,Cross,Cross_ezETH/USD,0x9c5321ab283283b75a83422e996234a6cfa436ba,0x2416092f143378750bb29b79eD961ab195CcEea5,0x0000000000000000000000000000000000000348,Yes
USDai,USD,Fixed Rate,FixedRate_OETH/ETH,0xae80AadE8Ff7cc7fE8493338898073fB1A4FB057,0x0A1a1A107E45b7Ced86833863f482BC5f4ed82EF,0x0000000000000000000000000000000000000348,Yes
USDC,USD,RedStone Classic,RedStoneClassic_USDC/USD,0x86220c3dc4ada691e0b09ff8f371bffe6efd8c75,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x0000000000000000000000000000000000000348,Yes
USD₮0,USD,RedStone Classic,RedStoneClassic_USD₮0/USD,0x4d7e1da95a407b28b17715cece2f3e1b101ecdfd,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,0x0000000000000000000000000000000000000348,Yes
USDe,USD,Chainlink,Chainlink_USDe/USD,0xf09c4691954e62365b9b9ebfd0fac0c7f3fa2634,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,Yes
USR,USD,Chainlink,Chainlink_USR/USD,0xaa61564fda1322799b595024b3a65f5addfa99c1,0x2492D0006411Af6C8bbb1c8afc1B0197350a79e9,0x0000000000000000000000000000000000000348,Yes
